game_date,game_number,opp_team,opp_runs,tor_runs,game_park_id,game_park_factor,tor_home,tor_atbats,tor_hits,tor_doubles,tor_triples,tor_homeruns,tor_rbi,tor_walks,opp_pitcher_start_id,opp_pitcher_start_name,opp_pitcher_whip_game,opp_pitcher_whip_todate,opp_team_der_game,opp_team_der_todate,tor_batting_1_id,tor_batting_1_name,tor_batting_1_pos,tor_batting_2_id,tor_batting_2_name,tor_batting_2_pos,tor_batting_3_id,tor_batting_3_name,tor_batting_3_pos,tor_batting_4_id,tor_batting_4_name,tor_batting_4_pos,tor_batting_5_id,tor_batting_5_name,tor_batting_5_pos,tor_batting_6_id,tor_batting_6_name,tor_batting_6_pos,tor_batting_7_id,tor_batting_7_name,tor_batting_7_pos,tor_batting_8_id,tor_batting_8_name,tor_batting_8_pos,tor_batting_9_id,tor_batting_9_name,tor_batting_9_pos,galvf001,bichb001,gurrl001,fishd001,pillk001,hernt002,davij007,gricr001,mckib001,smoaj001,tellr001,sogae001,biggc002,guerv002,drurb001,jansd001,maill001,mcgur002,galvf001_ops_game,bichb001_ops_game,gurrl001_ops_game,fishd001_ops_game,pillk001_ops_game,hernt002_ops_game,davij007_ops_game,gricr001_ops_game,mckib001_ops_game,smoaj001_ops_game,tellr001_ops_game,sogae001_ops_game,biggc002_ops_game,guerv002_ops_game,drurb001_ops_game,jansd001_ops_game,maill001_ops_game,mcgur002_ops_game,galvf001_ops_todate,bichb001_ops_todate,gurrl001_ops_todate,fishd001_ops_todate,pillk001_ops_todate,hernt002_ops_todate,davij007_ops_todate,gricr001_ops_todate,mckib001_ops_todate,smoaj001_ops_todate,tellr001_ops_todate,sogae001_ops_todate,biggc002_ops_todate,guerv002_ops_todate,drurb001_ops_todate,jansd001_ops_todate,maill001_ops_todate,mcgur002_ops_todate
20190516,43,CHA,4,2,CHI12,0.966,0,29,2,0,0,1,1,4,coved001,Dylan Covey,0.769,2.105,0.96,0.691,sogae001,Eric Sogard,4,guerv002,Vladimir Guerrero,10,smoaj001,Justin Smoak,3,gricr001,Randal Grichuk,9,galvf001,Freddy Galvis,6,drurb001,Brandon Drury,5,mckib001,Billy McKinney,7,davij007,Jonathan Davis,8,jansd001,Danny Jansen,2,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1.25,0,0,0,0,0,0,0,0,0.5,0,0.333,0,0,0.5,0.333,0,0,0.73,0,0,0,0,0,0,0.765,0.647,0.735,0,0.962,0,0.693,0.628,0.449,0,0
20190517,44,CHA,2,10,CHI12,0.966,0,40,15,4,0,3,9,6,novai001,Ivan Nova,4,1.682,0.613,0.697,sogae001,Eric Sogard,4,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,3,tellr001,Rowdy Tellez,10,gricr001,Randal Grichuk,8,galvf001,Freddy Galvis,6,drurb001,Brandon Drury,9,mckib001,Billy McKinney,7,jansd001,Danny Jansen,2,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0.4,0,0,0,0,0,0,0.8,2,2.8,0.4,1.1,0,1.4,0.7,1.85,0,0,0.744,0,0,0,0,0,0,0.747,0.625,0.732,0.728,0.945,0,0.648,0.624,0.447,0,0
20190518,45,CHA,4,1,CHI12,0.966,0,17,3,1,0,0,1,2,gioll001,Lucas Giolito,1,1.23,0.769,0.695,mckib001,Billy McKinney,7,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,10,tellr001,Rowdy Tellez,3,gricr001,Randal Grichuk,8,galvf001,Freddy Galvis,6,drurb001,Brandon Drury,9,urenr001,Richard Urena,4,maill001,Luke Maile,2,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1.5,0,0,0,0,0,0,0.5,0,0,2,0,0,1,0,0,0,0,0.733,0,0,0,0,0,0,0.748,0.681,0.77,0.715,0,0,0.697,0.626,0,0.417,0
20190519,46,CHA,2,5,CHI12,0.966,0,35,8,0,0,3,5,2,loper003,Reynaldo Lopez,1,1.582,0.821,0.696,sogae001,Eric Sogard,4,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,3,tellr001,Rowdy Tellez,10,gricr001,Randal Grichuk,9,galvf001,Freddy Galvis,6,mckib001,Billy McKinney,7,jansd001,Danny Jansen,2,davij007,Jonathan Davis,8,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0.25,0,0,0,0,0,0.5,0,1.25,0.833,0.5,0,0,1.75,0,1.75,0,0,0.742,0,0,0,0,0,0,0.748,0.665,0.759,0.73,0.955,0,0.706,0,0.506,0,0
20190520,47,BOS,12,2,TOR02,1.031,1,31,3,0,0,1,2,1,pricd001,David Price,0.6,1.139,0.9,0.707,davij007,Jonathan Davis,8,drurb001,Brandon Drury,5,smoaj001,Justin Smoak,3,gricr001,Randal Grichuk,9,galvf001,Freddy Galvis,6,jansd001,Danny Jansen,10,mckib001,Billy McKinney,7,urenr001,Richard Urena,4,maill001,Luke Maile,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0.25,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,1.667,0,0.733,0,0,0,0,0,0.111,0.731,0.683,0.761,0,0,0,0,0.617,0.554,0.401,0
20190521,48,BOS,3,10,TOR02,1.031,1,34,11,1,0,3,10,5,rodre004,Eduardo Rodriguez,1.8,1.485,0.619,0.71,davij007,Jonathan Davis,8,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,3,tellr001,Rowdy Tellez,10,gricr001,Randal Grichuk,9,galvf001,Freddy Galvis,6,mckib001,Billy McKinney,7,jansd001,Danny Jansen,2,drurb001,Brandon Drury,4,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1.25,0,0,0,0,0,0.4,1.75,0.25,0.4,2,0,0,0.8,1.75,0.5,0,0,0.724,0,0,0,0,0,0.182,0.715,0.668,0.755,0.723,0,0,0.766,0.601,0.539,0,0
20190522,49,BOS,6,5,TOR02,1.031,1,50,11,3,0,3,5,3,porcr001,Rick Porcello,0.5,1.455,0.765,0.709,sogae001,Eric Sogard,4,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,3,tellr001,Rowdy Tellez,10,gricr001,Randal Grichuk,9,galvf001,Freddy Galvis,6,drurb001,Brandon Drury,7,davij007,Jonathan Davis,8,maill001,Luke Maile,2,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0.333,0,0,0,0,0,0,0.333,0,1.6,1.5,0,0,1.167,1,0,0.333,0,0.735,0,0,0,0,0,0.222,0.737,0,0.747,0.769,0.904,0,0.768,0.627,0,0.471,0
20190523,50,BOS,8,2,TOR02,1.031,1,32,5,3,0,1,2,0,weber001,Ryan Weber,0.5,1.125,0.84,0.71,sogae001,Eric Sogard,4,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,10,tellr001,Rowdy Tellez,3,drurb001,Brandon Drury,7,galvf001,Freddy Galvis,6,mckib001,Billy McKinney,9,jansd001,Danny Jansen,2,davij007,Jonathan Davis,8,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1.25,1.167,0,0,0,1.25,0,0,0,0.722,0,0,0,0,0,0.207,0,0.649,0.776,0.796,0.849,0,0.798,0.641,0.545,0,0
20190524,51,SDN,6,3,TOR02,1.031,1,30,3,0,0,2,3,1,luccj001,Joey Lucchesi,0.645,1.287,0.933,0.715,drurb001,Brandon Drury,9,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,10,tellr001,Rowdy Tellez,3,gricr001,Randal Grichuk,8,galvf001,Freddy Galvis,6,gurrl001,Lourdes Gurriel,7,biggc002,Cavan Biggio,4,jansd001,Danny Jansen,2,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,2.333,0,1.667,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.726,0,0.525,0,0,0,0,0.725,0,0.789,0.804,0,0,0.761,0.656,0.532,0,0
20190525,52,SDN,19,4,TOR02,1.031,1,30,4,0,0,2,4,2,quanc001,Cal Quantrill,0.667,1.818,0.875,0.718,galvf001,Freddy Galvis,6,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,3,tellr001,Rowdy Tellez,10,gricr001,Randal Grichuk,9,gurrl001,Lourdes Gurriel,7,biggc002,Cavan Biggio,4,davij007,Jonathan Davis,8,maill001,Luke Maile,2,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0.5,0,1.667,0,0,0,0.667,0,0,1.833,0,0,0,0.25,0,0,0,0,0.753,0,0.604,0,0,0,0.188,0.717,0,0.778,0.783,0,0,0.727,0,0,0.468,0
