"game_date","game_number","opp_team","opp_runs","tor_runs","game_park_id","tor_atbats","tor_hits","tor_doubles","tor_triples","tor_homeruns","tor_rbi","tor_walks","opp_pitcher_start_id","opp_pitcher_start_name","opp_pitcher_whip","tor_batting_1_id","tor_batting_1_name","tor_batting_1_pos","tor_batting_2_id","tor_batting_2_name","tor_batting_2_pos","tor_batting_3_id","tor_batting_3_name","tor_batting_3_pos","tor_batting_4_id","tor_batting_4_name","tor_batting_4_pos","tor_batting_5_id","tor_batting_5_name","tor_batting_5_pos","tor_batting_6_id","tor_batting_6_name","tor_batting_6_pos","tor_batting_7_id","tor_batting_7_name","tor_batting_7_pos","tor_batting_8_id","tor_batting_8_name","tor_batting_8_pos","tor_batting_9_id","tor_batting_9_name","tor_batting_9_pos","galvf001","bichb001","gurrl001","fishd001","pillk001","hernt002","davij007","gricr001","mckib001","smoaj001","tellr001","sogae001","biggc002","guerv002","drurb001","jansd001","maill001","mcgur002","galvf001_ops_game","bichb001_ops_game","gurrl001_ops_game","fishd001_ops_game","pillk001_ops_game","hernt002_ops_game","davij007_ops_game","gricr001_ops_game","mckib001_ops_game","smoaj001_ops_game","tellr001_ops_game","sogae001_ops_game","biggc002_ops_game","guerv002_ops_game","drurb001_ops_game","jansd001_ops_game","maill001_ops_game","mcgur002_ops_game","galvf001_ops_todate","bichb001_ops_todate","gurrl001_ops_todate","fishd001_ops_todate","pillk001_ops_todate","hernt002_ops_todate","davij007_ops_todate","gricr001_ops_todate","mckib001_ops_todate","smoaj001_ops_todate","tellr001_ops_todate","sogae001_ops_todate","biggc002_ops_todate","guerv002_ops_todate","drurb001_ops_todate","jansd001_ops_todate","maill001_ops_todate","mcgur002_ops_todate","galvf001_ops_season","bichb001_ops_season","gurrl001_ops_season","fishd001_ops_season","pillk001_ops_season","hernt002_ops_season","davij007_ops_season","gricr001_ops_season","mckib001_ops_season","smoaj001_ops_season","tellr001_ops_season","sogae001_ops_season","biggc002_ops_season","guerv002_ops_season","drurb001_ops_season","jansd001_ops_season","maill001_ops_season","mcgur002_ops_season"
20190328,1,"DET",2,0,"TOR02",32,2,0,0,0,0,1,"zimmj003","Jordan Zimmermann",1.518,"drurb001","Brandon Drury",5,"gricr001","Randal Grichuk",9,"hernt002","Teoscar Hernandez",7,"smoaj001","Justin Smoak",3,"gurrl001","Lourdes Gurriel",4,"pillk001","Kevin Pillar",8,"tellr001","Rowdy Tellez",10,"jansd001","Danny Jansen",2,"galvf001","Freddy Galvis",6,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.734,0.0,0.868,0.0,0.719,0.778,0.0,0.737,0.0,0.748,0.742,0.0,0.0,0.0,0.642,0.639,0.0,0.0
20190329,2,"DET",0,6,"TOR02",31,7,0,1,0,5,3,"boydm001","Matt Boyd",1.232,"drurb001","Brandon Drury",5,"gricr001","Randal Grichuk",10,"smoaj001","Justin Smoak",3,"hernt002","Teoscar Hernandez",7,"gurrl001","Lourdes Gurriel",4,"pillk001","Kevin Pillar",8,"mckib001","Billy McKinney",9,"galvf001","Freddy Galvis",6,"maill001","Luke Maile",2,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1.333,0.0,0.25,0.0,0.0,0.5,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.0,0.666,0.0,0.125,0.0,0.0,0.5,0.0,0.125,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.333,0.0,0.734,0.0,0.868,0.0,0.719,0.778,0.0,0.737,0.696,0.748,0.0,0.0,0.0,0.0,0.642,0.0,0.44,0.0
20190330,3,"DET",0,3,"TOR02",28,6,2,0,1,3,4,"turns003","Spencer Turnbull",1.438,"drurb001","Brandon Drury",5,"mckib001","Billy McKinney",9,"hernt002","Teoscar Hernandez",7,"smoaj001","Justin Smoak",3,"jansd001","Danny Jansen",2,"tellr001","Rowdy Tellez",10,"pillk001","Kevin Pillar",8,"galvf001","Freddy Galvis",6,"urenr001","Richard Urena",4,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.833,1.833,0.5,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.533,0.0,0.0,0.661,0.878,0.4,0.0,0.0,0.0,0.75,0.286,0.0,0.0,0.734,0.0,0.0,0.0,0.719,0.778,0.0,0.0,0.696,0.748,0.742,0.0,0.0,0.0,0.642,0.639,0.0,0.0
20190331,4,"DET",4,3,"TOR02",39,8,2,0,1,3,1,"moorm003","Matt Moore",1.316,"jansd001","Danny Jansen",10,"drurb001","Brandon Drury",5,"smoaj001","Justin Smoak",3,"gricr001","Randal Grichuk",9,"hernt002","Teoscar Hernandez",7,"gurrl001","Lourdes Gurriel",4,"pillk001","Kevin Pillar",8,"urenr001","Richard Urena",6,"maill001","Luke Maile",2,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.083,0.0,0.126,0.368,0.0,0.2,0.0,0.694,0.0,0.0,0.0,0.0,0.647,0.334,0.2,0.0,0.0,0.0,0.868,0.0,0.719,0.778,0.0,0.737,0.0,0.748,0.0,0.0,0.0,0.0,0.642,0.639,0.44,0.0
20190401,5,"BAL",6,5,"TOR02",31,6,1,1,2,5,2,"hessd001","David Hess",1.55,"mckib001","Billy McKinney",9,"drurb001","Brandon Drury",5,"smoaj001","Justin Smoak",3,"gricr001","Randal Grichuk",8,"tellr001","Rowdy Tellez",10,"hernt002","Teoscar Hernandez",7,"gurrl001","Lourdes Gurriel",4,"jansd001","Danny Jansen",2,"galvf001","Freddy Galvis",6,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1.667,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.25,0.25,0.667,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.063,0.0,0.0,0.501,0.0,0.638,0.533,0.619,1.158,0.0,0.0,0.0,0.619,0.266,0.0,0.0,0.734,0.0,0.868,0.0,0.0,0.778,0.0,0.737,0.696,0.748,0.742,0.0,0.0,0.0,0.642,0.639,0.0,0.0
20190402,6,"BAL",2,1,"TOR02",31,6,0,0,1,1,4,"casha001","Andrew Cashner",1.347,"drurb001","Brandon Drury",5,"mckib001","Billy McKinney",9,"hernt002","Teoscar Hernandez",7,"smoaj001","Justin Smoak",3,"jansd001","Danny Jansen",2,"tellr001","Rowdy Tellez",10,"alfoa002","Anthony Alford",8,"galvf001","Freddy Galvis",6,"urenr001","Richard Urena",4,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.833,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.889,0.0,0.0,0.0,0.0,0.518,0.0,0.0,0.393,0.684,1.362,0.0,0.0,0.0,0.6,0.269,0.0,0.0,0.734,0.0,0.0,0.0,0.0,0.778,0.0,0.0,0.696,0.748,0.742,0.0,0.0,0.0,0.642,0.639,0.0,0.0
20190403,7,"BAL",3,5,"TOR02",31,10,3,0,2,4,2,"karnn001","Nathan Karns",1.316,"mckib001","Billy McKinney",9,"gricr001","Randal Grichuk",8,"smoaj001","Justin Smoak",10,"hernt002","Teoscar Hernandez",7,"tellr001","Rowdy Tellez",3,"gurrl001","Lourdes Gurriel",4,"galvf001","Freddy Galvis",6,"urenr001","Richard Urena",5,"maill001","Luke Maile",2,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0.0,0.0,1.25,0.0,0.0,0.833,0.0,3.25,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,1.667,0.0,0.762,0.0,0.308,0.0,0.0,0.56,0.0,1.095,0.311,0.63,1.126,0.0,0.0,0.0,0.0,0.0,0.804,0.0,0.734,0.0,0.868,0.0,0.0,0.778,0.0,0.737,0.696,0.748,0.742,0.0,0.0,0.0,0.0,0.0,0.44,0.0
20190404,8,"CLE",4,1,"CLE08",30,3,1,0,0,1,8,"bauet001","Trevor Bauer",1.249,"drurb001","Brandon Drury",5,"brits001","Socrates Brito",9,"gricr001","Randal Grichuk",8,"tellr001","Rowdy Tellez",10,"jansd001","Danny Jansen",2,"mckib001","Billy McKinney",7,"gurrl001","Lourdes Gurriel",3,"galvf001","Freddy Galvis",6,"hansa001","Alen Hanson",4,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.9,0.0,0.255,0.0,0.0,0.0,0.0,0.95,0.35,0.0,0.92,0.0,0.0,0.0,0.543,0.269,0.0,0.0,0.734,0.0,0.868,0.0,0.0,0.0,0.0,0.737,0.696,0.0,0.742,0.0,0.0,0.0,0.642,0.639,0.0,0.0
20190405,9,"CLE",3,2,"CLE08",30,3,1,0,1,2,3,"biebs001","Shane Bieber",1.056,"brits001","Socrates Brito",9,"hernt002","Teoscar Hernandez",7,"mckib001","Billy McKinney",10,"gricr001","Randal Grichuk",8,"tellr001","Rowdy Tellez",3,"drurb001","Brandon Drury",5,"galvf001","Freddy Galvis",6,"urenr001","Richard Urena",4,"maill001","Luke Maile",2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1.667,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.333,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.0,0.61,0.0,0.825,0.35,0.0,0.822,0.0,0.0,0.0,0.538,0.0,0.573,0.0,0.734,0.0,0.0,0.0,0.0,0.778,0.0,0.737,0.696,0.0,0.742,0.0,0.0,0.0,0.642,0.0,0.44,0.0
20190406,10,"CLE",7,2,"CLE08",37,10,4,0,1,2,1,"carrc003","Carlos Carrasco",1.35,"galvf001","Freddy Galvis",6,"hernt002","Teoscar Hernandez",7,"smoaj001","Justin Smoak",10,"gricr001","Randal Grichuk",8,"tellr001","Rowdy Tellez",3,"drurb001","Brandon Drury",5,"jansd001","Danny Jansen",2,"mckib001","Billy McKinney",9,"gurrl001","Lourdes Gurriel",4,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1.4,0.0,0.25,0.0,0.0,0.8,0.0,0.75,1.25,0.6,1.167,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.061,0.0,0.258,0.0,0.0,0.636,0.0,0.815,0.482,0.627,0.857,0.0,0.0,0.0,0.481,0.345,0.0,0.0,0.734,0.0,0.868,0.0,0.0,0.778,0.0,0.737,0.696,0.748,0.742,0.0,0.0,0.0,0.642,0.639,0.0,0.0
